"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","region","TAHUN","BULAN","period1","period","BL","VEG","REPRO","RIPE","total","Paddy_planting","Paddy_harvested","luas_baku_ha","area_RS","area_factor"
"41","JAWA BARAT","SUBANG","SUBANG",3213070,3213,2017,"JANUARI","2017-01","'2017-01-12",53.125,300.875,75.125,716.6875,1145.8125,719,471,1590,1311.85120303567,0.825063649707968
"42","JAWA BARAT","SUBANG","KALIJATI",3213080,3213,2017,"JANUARI","2017-01","'2017-01-12",119.8125,509.3125,444.1875,1203.3125,2276.625,0,0,870,2548.81016370786,2.92966685483663
"43","JAWA BARAT","SUBANG","DAWUAN",3213081,3213,2017,"JANUARI","2017-01","'2017-01-12",24,135,57.5,278.0625,494.5625,1058,0,2117,596.645815639273,0.281835529352514
"44","JAWA BARAT","SUBANG","CIPEUNDEUY",3213090,3213,2017,"JANUARI","2017-01","'2017-01-12",162.0625,249.25,260.25,973.875,1645.4375,1113,0,1525,1932.79605825245,1.26740725131308
"45","JAWA BARAT","SUBANG","PABUARAN",3213100,3213,2017,"JANUARI","2017-01","'2017-01-12",435.75,375.375,1604.1875,2716.6875,5132,495,746,4264,5441.43708844259,1.27613440160473
"46","JAWA BARAT","SUBANG","PATOKBEUSI",3213110,3213,2017,"JANUARI","2017-01","'2017-01-12",255,786.8125,3911.1875,1877.6875,6830.6875,0,515,5854,7066.38405189458,1.2071035278262
"47","JAWA BARAT","SUBANG","PURWADADI",3213120,3213,2017,"JANUARI","2017-01","'2017-01-12",61.375,240.125,356.0625,605.5625,1263.125,730,200,1280,1417.76235901944,1.10762684298394
"48","JAWA BARAT","SUBANG","CIKAUM",3213130,3213,2017,"JANUARI","2017-01","'2017-01-12",115,314.0625,1318,792,2539.0625,204,213,2673,2723.4368974413,1.01886902261178
"49","JAWA BARAT","SUBANG","PAGADEN",3213140,3213,2017,"JANUARI","2017-01","'2017-01-12",260.0625,270.75,825.375,1151,2507.1875,204,486,2701,2691.30194565587,0.99640945785112
"50","JAWA BARAT","SUBANG","PAGADEN BARAT",3213141,3213,2017,"JANUARI","2017-01","'2017-01-12",245.875,807.0625,673.4375,1204.25,2930.625,415,782,3424,3150.8717180915,0.920231226078125
"51","JAWA BARAT","SUBANG","CIPUNAGARA",3213150,3213,2017,"JANUARI","2017-01","'2017-01-12",313.625,1671.4375,1029.125,2612.8125,5627,805,250,4989,5973.72196389087,1.19737862575483
"52","JAWA BARAT","SUBANG","COMPRENG",3213160,3213,2017,"JANUARI","2017-01","'2017-01-12",375,4129.4375,489,342.4375,5335.875,2352,0,5126,5491.74286981692,1.07135054034665
"53","JAWA BARAT","SUBANG","BINONG",3213170,3213,2017,"JANUARI","2017-01","'2017-01-12",138.5,2229.25,1168.375,334.8125,3870.9375,633,0,3748,4014.25264493568,1.07103859256555
"54","JAWA BARAT","SUBANG","TAMBAKDAHAN",3213171,3213,2017,"JANUARI","2017-01","'2017-01-12",311.875,4514.125,213.8125,177.625,5217.4375,3860,0,4715,5334.38089134242,1.13136392181175
"55","JAWA BARAT","SUBANG","CIASEM",3213180,3213,2017,"JANUARI","2017-01","'2017-01-12",256.875,5721.375,1701.4375,841.1875,8520.875,2928,40,6364,8816.88459665047,1.38543126911541
"56","JAWA BARAT","SUBANG","PAMANUKAN",3213190,3213,2017,"JANUARI","2017-01","'2017-01-12",278.875,1649.8125,74.25,57.8125,2060.75,1048,0,1887,2127.35879520863,1.12737615008407
"57","JAWA BARAT","SUBANG","SUKASARI",3213191,3213,2017,"JANUARI","2017-01","'2017-01-12",331.25,2756.8125,38.3125,90.9375,3217.3125,1569,0,3669,3297.92974837434,0.898863381949942
"58","JAWA BARAT","SUBANG","PUSAKANAGARA",3213200,3213,2017,"JANUARI","2017-01","'2017-01-12",413.3125,1573.1875,82.875,249.875,2319.25,798,0,3060,2399.20022126473,0.784052359890434
"59","JAWA BARAT","SUBANG","PUSAKAJAYA",3213201,3213,2017,"JANUARI","2017-01","'2017-01-12",709.0625,3624.6875,29.9375,46.125,4409.8125,2418,0,3907,4528.63939336457,1.15910913574727
"60","JAWA BARAT","SUBANG","LEGONKULON",3213210,3213,2017,"JANUARI","2017-01","'2017-01-12",169.875,2179,109.5,145.1875,2603.5625,489,0,2630,2693.8086399435,1.0242618402827
"61","JAWA BARAT","SUBANG","BLANAKAN",3213220,3213,2017,"JANUARI","2017-01","'2017-01-12",462.0625,4364.625,146.5,85.8125,5059,4272,0,5300,5233.9803037893,0.987543453545151
"62","JAWA BARAT","KARAWANG","PANGKALAN",3215010,3215,2017,"JANUARI","2017-01","'2017-01-12",40.4375,324.75,237.375,781.9375,1384.5,0,425,2341,3024.69137744714,1.29205099421065
"63","JAWA BARAT","KARAWANG","TEGALWARU",3215011,3215,2017,"JANUARI","2017-01","'2017-01-12",166.875,343.6875,341.5625,625.625,1477.75,0,151,1912,1968.29286918545,1.02944187718904
"64","JAWA BARAT","KARAWANG","CIAMPEL",3215020,3215,2017,"JANUARI","2017-01","'2017-01-12",43.4375,182.125,241.625,591,1058.1875,0,13,852,1212.66628485266,1.42331723574256
"65","JAWA BARAT","KARAWANG","TELUKJAMBE TIMUR",3215031,3215,2017,"JANUARI","2017-01","'2017-01-12",86.5,399,128.5625,339.125,953.1875,0,50,795,1028.89000178984,1.294201260113
"66","JAWA BARAT","KARAWANG","TELUKJAMBE BARAT",3215032,3215,2017,"JANUARI","2017-01","'2017-01-12",156.375,818.5625,15.9375,474.6875,1465.5625,128,14,2091,2625.43208526285,1.25558684135
"67","JAWA BARAT","KARAWANG","KLARI",3215040,3215,2017,"JANUARI","2017-01","'2017-01-12",159.875,360,517.375,1342.1875,2379.4375,172,460,1477,2509.20849211122,1.69885476784781
"68","JAWA BARAT","KARAWANG","CIKAMPEK",3215050,3215,2017,"JANUARI","2017-01","'2017-01-12",15.75,25.25,101.1875,166.375,308.5625,0,81,416,341.097460586803,0.819945818718278
"69","JAWA BARAT","KARAWANG","PURWASARI",3215051,3215,2017,"JANUARI","2017-01","'2017-01-12",40.8125,51.1875,1123.1875,489.75,1704.9375,0,59,1476,1767.55992959928,1.19753382764179
"70","JAWA BARAT","KARAWANG","TIRTAMULYA",3215060,3215,2017,"JANUARI","2017-01","'2017-01-12",120.8125,272.9375,1774.9375,1241.25,3409.9375,0,700,2517,3507.87439346356,1.39367278246467
"71","JAWA BARAT","KARAWANG","JATISARI",3215070,3215,2017,"JANUARI","2017-01","'2017-01-12",70.125,449.0625,2244.75,1093.125,3857.0625,0,58,4067,3968.16354567536,0.975697945826251
"72","JAWA BARAT","KARAWANG","BANYUSARI",3215071,3215,2017,"JANUARI","2017-01","'2017-01-12",442.5,3044.875,120.375,641.3125,4249.0625,906,0,3814,4332.16425863318,1.13585848417231
"73","JAWA BARAT","KARAWANG","KOTABARU",3215072,3215,2017,"JANUARI","2017-01","'2017-01-12",44.0625,47.5,716.75,554.0625,1362.375,0,23,1266,1415.88755857088,1.11839459602755
"74","JAWA BARAT","KARAWANG","CILAMAYA WETAN",3215081,3215,2017,"JANUARI","2017-01","'2017-01-12",129.1875,4685.375,63.625,43.625,4921.8125,895,0,5218,5031.16497373609,0.96419413065084
"75","JAWA BARAT","KARAWANG","CILAMAYA KULON",3215082,3215,2017,"JANUARI","2017-01","'2017-01-12",255.75,4744.25,272.625,42.375,5315,808,0,4570,5424.15282934873,1.18690433902598
"76","JAWA BARAT","KARAWANG","LEMAHABANG",3215090,3215,2017,"JANUARI","2017-01","'2017-01-12",269.5,2123.3125,876.625,671.875,3941.3125,2236,1000,3798,4033.80555499562,1.06208677066762
"77","JAWA BARAT","KARAWANG","TALAGASARI",3215100,3215,2017,"JANUARI","2017-01","'2017-01-12",191.5625,2654.0625,705.1875,495.3125,4046.125,830,40,4100,4143.89281329533,1.01070556421837
