"","sensor","model","period","region","subdistrict","area_ha_1","area_ha_2","area_ha_3","area_ha_4"
"134","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213081","408.125","5.1875","22.1875","141.9375"
"135","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213090","951.4375","178.625","221.4375","485.375"
"136","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213100","1447.1875","466.9375","815.625","2657.25"
"137","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213110","710.9375","384.1875","2721.0625","3225.4375"
"138","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213120","585.375","123.125","198.125","448.25"
"139","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213130","412.5","123.0625","1272.875","857.3125"
"140","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213140","1169.875","48.8125","294.8125","1154.3125"
"141","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213141","1683.875","124.6875","348.1875","970.625"
"142","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213150","1994.5","567.5625","1015.1875","2340.0625"
"143","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213160","1253.5625","2896.125","1239","79.3125"
"144","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213170","415.4375","1354.375","1840.625","399.5"
"145","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213171","1002.8125","3728.0625","554.75","37.625"
"146","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213180","914.25","3353.5","4116.75","411.0625"
"147","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213190","966.875","1119.375","27.6875","6"
"148","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213191","835.6875","2249.75","202.625","3"
"149","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213200","1346.3125","951.6875","76.75","14.625"
"150","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213201","1410.4375","3059.1875","31.75","8.125"
"151","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213210","1519","1100.8125","40.4375","22.125"
"152","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213220","1361.5625","3436.5","394.5625","25.875"
"153","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215010","392.75","88.5","4.9375","221.75"
"154","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215011","819.875","36.9375","153.875","505.875"
"155","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215020","618.3125","34.5","102.8125","406.75"
"156","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215031","544.5625","39","276.125","121.625"
"157","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215032","390.3125","88.375","44.4375","15.875"
"158","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215040","1119","138.5625","121.875","1112.5"
"159","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215050","101.375","2.625","6","221.1875"
"160","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215051","263.6875","24.25","460.0625","1010.125"
"161","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215060","334.1875","193.5","823.8125","2151.875"
"162","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215070","269.625","136.875","1657.9375","1893.8125"
"163","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215071","1304","2034.625","814.5","172.1875"
"164","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215072","211.5","18.9375","53.875","1118.375"
"165","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215081","2233.3125","2734.6875","35.25","23.8125"
"166","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215082","3106.0625","2120.5625","151.75","42.875"
"167","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215090","1074.25","1153.4375","845.125","957.25"
"168","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215100","1165.75","1377.125","1025.0625","569.625"
"169","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215111","330.9375","46.5625","425.625","1610.625"
"170","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215112","415.5","42.4375","111.75","779.8125"
"171","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215113","504.375","15.0625","585.625","1100.8125"
"172","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215120","418.3125","488.5","1637.625","962.9375"
"173","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215130","4471.5","2465.375","213.125","56.4375"
"174","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215140","1496.3125","1401.1875","1410.8125","132.875"
"175","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215150","578.625","333.375","298.625","634.625"
"176","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215151","1115.875","144.5","51.375","89.1875"
"177","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215160","2780.25","430.125","216.4375","174.6875"
"178","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215161","3450.25","864.375","267.5625","235.625"
"179","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215170","371.75","11.25","12.0625","25.5625"
"180","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212010","1323.5625","131.9375","981.5625","1949.8125"
"181","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212011","3243","230.9375","286.4375","4248.375"
"182","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212020","4279.625","306.6875","792.75","4655.3125"
"183","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212030","3003.25","145.875","2085","998.375"
"184","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212040","991.4375","80.375","1109.75","1914.4375"
"185","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212041","4349.4375","147.625","857.1875","1881.5"
"186","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212050","554.125","87","2666.6875","1390.1875"
"187","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212060","1689.8125","304.5625","429.5625","1169.1875"
"188","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212061","1822.8125","644.1875","66.8125","1144.25"
"189","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212070","750.3125","170.75","630.5625","1461.125"
"190","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212080","300.875","115.75","1133.25","928.25"
"191","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212081","698.75","175.1875","418.3125","944.1875"
"192","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212090","1408.25","3084","113.5625","2.4375"
"193","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212100","551.1875","676.4375","690.1875","137.0625"
"194","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212101","425.8125","329.9375","1173.9375","362.875"
"195","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212110","164.6875","294.375","3110.625","113.3125"
"196","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212120","445.5625","1125.5625","2576.1875","448.8125"
"197","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212130","212.0625","439.4375","1745.4375","199.8125"
