"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","VEG.REPRO.corr","VEG.REPRO.lag","VEG.RIPE.corr","VEG.RIPE.lag","REPRO.RIPE.corr","REPRO.RIPE.lag","VEG.planting.corr","VEG.planting.lag","VEG.harvested.corr","VEG.harvested.lag","REPRO.harvested.corr","REPRO.harvested.lag","RIPE.harvested.corr","RIPE.harvested.lag","planting.harvested.corr","planting.harvested.lag"
"21","JAWA BARAT","INDRAMAYU","SINDANG",3212160,0.698130843663212,-3,0.505550110249256,-6,0.771859783405843,-3,0.567054069843893,0,0.428702913615171,-8,0.755286863773931,-4,0.84937400700503,-1,0.506634410153595,-8
"22","JAWA BARAT","INDRAMAYU","CANTIGI",3212161,0.506352467123311,-3,0.373539596529017,-6,0.67798512336846,-2,0.392876140003801,0,0.505643565046946,-6,0.618222545719841,-3,0.680220460356439,-1,0.482577288403118,-9
"23","JAWA BARAT","INDRAMAYU","PASEKAN",3212162,0.655893859897222,-4,0.399126928712168,-6,0.765682711576773,-2,0.504289845793594,0,0.445261739447891,-6,0.732555990810794,-4,0.829477143648027,-1,0.541099780636505,-8
"24","JAWA BARAT","INDRAMAYU","LOHBENER",3212170,0.66673620484452,-3,0.467097891304515,-6,0.771697976887078,-3,0.51451964164572,0,0.486131306765526,-7,0.643509118526764,-4,0.720933230749893,-1,0.577077038644801,-8
"25","JAWA BARAT","INDRAMAYU","ARAHAN",3212171,0.691809359965074,-3,0.457546716174767,-6,0.678665956751024,-3,0.389462375492392,0,0.511749829691149,-7,0.701074621213231,-3,0.758108687618172,-1,0.661503178859031,-8
"26","JAWA BARAT","INDRAMAYU","LOSARANG",3212180,0.621787500861931,-3,0.421952967594162,-6,0.624611848453028,-3,0.342941439811668,0,0.559171497468555,-9,0.717344705869607,-5,0.798487451810106,-2,0.346586319984691,-9
"27","JAWA BARAT","INDRAMAYU","KANDANGHAUR",3212190,0.408866808567447,-4,0.317625922475213,-6,0.797734259998098,-3,0.545533146974471,0,0.329184225863544,-9,0.605108212268069,-3,0.715710513625298,-1,0.470828391764415,-8
"28","JAWA BARAT","INDRAMAYU","BONGAS",3212200,0.498407197243355,-4,0.446953375770297,-7,0.858930149326355,-3,0.523429952068802,0,0.424445614159581,-9,0.860684959717757,-4,0.881991561392222,-1,0.513699295359811,-7
"29","JAWA BARAT","INDRAMAYU","ANJATAN",3212210,0.610006680784216,-4,0.497112418427291,-7,0.88306907582087,-3,0.578836161394888,0,0.513846340177624,-7,0.739370090839681,-4,0.815506787751428,-1,0.60959620348546,-8
"30","JAWA BARAT","INDRAMAYU","SUKRA",3212220,0.632893962182487,-4,0.602157478873489,-6,0.888639987056107,-3,0.420875223426933,0,0.517123882156667,-7,0.792266698708267,-4,0.825368682890408,-1,0.646345720878659,-8
"31","JAWA BARAT","INDRAMAYU","PATROL",3212221,0.567005732960226,-4,0.452684148457346,-6,0.866094108648704,-2,0.406359113606245,0,0.496722921943993,-8,0.741492847394259,-5,0.695534221169451,-2,0.653042761555337,-8
"32","JAWA BARAT","SUBANG","SAGALAHERANG",3213010,0.340188841975326,-5,0.339266690896967,-7,0.528642125311642,-1,-0.000849623627500852,-4,0.287863998280876,-5,0.167729120242623,-5,0.241257845679894,-3,0.788733825763912,-7
"33","JAWA BARAT","SUBANG","SERANGPANJANG",3213011,0.355648209749124,-5,0.186428112518075,-7,0.506352650023644,-2,0.347624845904054,0,0.210726499965608,-8,0.0691976387559681,-5,0.0886124416458113,-3,0.761422287023137,-8
"34","JAWA BARAT","SUBANG","JALANCAGAK",3213020,0.550783035256075,-5,0.261981443613692,-7,0.394693358511896,-1,0.339360283681134,0,0.125417028047928,-8,-0.0662051629874635,-3,0.0786426576862499,-3,0.64562724389536,-8
"35","JAWA BARAT","SUBANG","CIATER",3213021,0.302692147001281,-3,0.389659350838374,-7,0.564302791639421,-1,0.16289584046595,-1,0.121877180969406,-7,-0.0556832936928143,-3,0.0425934577900419,0,0.743550585808816,-7
"36","JAWA BARAT","SUBANG","CISALAK",3213030,0.402947297961103,-3,0.426947007505953,-6,0.325170205305527,-1,0.0845379134949813,-3,0.0279133480557742,-5,0.0573321708575598,-2,0.0377330486144533,0,0.664879346554408,-8
"37","JAWA BARAT","SUBANG","KASOMALANG",3213031,0.428123221514004,-3,0.344677973298228,-6,0.348068336158254,-1,0.31784084057298,-1,0.207318944677568,-8,0.398966050602363,-4,0.283601240109495,-3,0.772359319812698,-7
"38","JAWA BARAT","SUBANG","TANJUNGSIANG",3213040,0.521936235356115,-3,0.26186472101093,-7,0.338130200458822,-2,0.260121041913497,-2,0.232064999313948,-8,0.28544604993362,-5,0.242072558002213,-3,0.679836321627751,-7
"39","JAWA BARAT","SUBANG","CIJAMBE",3213050,0.318727442342272,-5,0.257679707300253,-7,0.387966089684922,-1,0.133766181293355,-2,0.0207633848759925,-9,0.0762465399636674,-5,0.0607600523943932,-3,0.763495541911608,-7
