"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","region","TAHUN","BULAN","period1","period","BL","VEG","REPRO","RIPE","total","Paddy_planting","Paddy_harvested","luas_baku_ha","area_RS","area_factor"
"129","JAWA BARAT","SUBANG","TANJUNGSIANG",3213040,3213,2017,"JANUARI","2017-01","'2017-01-24",637.875,15.9375,249.3125,340.75,1243.875,380,205,1688,1281.27894699093,0.759051508880882
"130","JAWA BARAT","SUBANG","CIJAMBE",3213050,3213,2017,"JANUARI","2017-01","'2017-01-24",1583.9375,45.0625,107.4375,489.1875,2225.625,870,383,1910,2316.19835203259,1.2126692942579
"131","JAWA BARAT","SUBANG","CIBOGO",3213060,3213,2017,"JANUARI","2017-01","'2017-01-24",1014.875,60.4375,101.3125,758.375,1935,373,1131,2164,1989.51950385749,0.919371304924903
"132","JAWA BARAT","SUBANG","SUBANG",3213070,3213,2017,"JANUARI","2017-01","'2017-01-24",748.3125,60.9375,58.6875,399.875,1267.8125,719,471,1590,1311.85120303567,0.825063649707968
"133","JAWA BARAT","SUBANG","KALIJATI",3213080,3213,2017,"JANUARI","2017-01","'2017-01-24",1251.1875,217.25,281.125,727.0625,2476.625,0,0,870,2548.81016370786,2.92966685483663
"134","JAWA BARAT","SUBANG","DAWUAN",3213081,3213,2017,"JANUARI","2017-01","'2017-01-24",408.125,5.1875,22.1875,141.9375,577.4375,1058,0,2117,596.645815639273,0.281835529352514
"135","JAWA BARAT","SUBANG","CIPEUNDEUY",3213090,3213,2017,"JANUARI","2017-01","'2017-01-24",951.4375,178.625,221.4375,485.375,1836.875,1113,0,1525,1932.79605825245,1.26740725131308
"136","JAWA BARAT","SUBANG","PABUARAN",3213100,3213,2017,"JANUARI","2017-01","'2017-01-24",1447.1875,466.9375,815.625,2657.25,5387,495,746,4264,5441.43708844259,1.27613440160473
"137","JAWA BARAT","SUBANG","PATOKBEUSI",3213110,3213,2017,"JANUARI","2017-01","'2017-01-24",710.9375,384.1875,2721.0625,3225.4375,7041.625,0,515,5854,7066.38405189458,1.2071035278262
"138","JAWA BARAT","SUBANG","PURWADADI",3213120,3213,2017,"JANUARI","2017-01","'2017-01-24",585.375,123.125,198.125,448.25,1354.875,730,200,1280,1417.76235901944,1.10762684298394
